date, pm25, pm10, o3, no2, so2, co
2019/3/21, 24, 12, 14, 1, 7, 3
2019/3/22, 13, 7, 8, 13, 7, 2
2019/3/23, 15, 11, 11, 10, 5, 2
2019/3/24, 37, 17, 35, 11, , 2
2019/3/25, 55, 21, 39, 11, , 3
2019/3/26, 59, 24, 36, 23, , 4
2019/3/27, 59, 34, 37, 22, , 5
2019/3/28, 44, 27, 32, 13, 1, 3
2019/3/29, 20, 13, 11, 11, , 2
2019/3/30, 22, 12, 13, 9, , 2
2019/3/31, 29, 18, 32, 9, 1, 2
2019/4/1, 45, 18, 39, 9, , 2
2018/10/2, 59, 36, 39, 29, , 9
2018/10/3, 85, 31, 31, 29, 1, 6
2018/10/4, 73, 11, 14, 17, 2, 3
2018/10/5, 36, 7, 14, 12, 1, 2
2018/10/6, 23, 15, 17, 10, 1, 2
2018/10/7, 31, 17, 12, 13, 1, 3
2018/10/8, 53, 19, 4, 25, , 7
2018/10/9, 52, 18, 1, 28, , 6
2018/10/10, 43, 17, 17, 23, , 6
2018/10/11, 48, 7, 8, 16, , 3
2018/10/12, 24, 11, , 10, , 3
2018/10/13, 39, 27, 1, 19, , 6
2018/10/14, 65, 6, 9, 10, 1, 3
2018/10/15, 24, 11, 5, 17, , 4
2018/10/16, 44, , , , , 
2018/10/18, 60, 17, 43, 27, , 6
2018/10/19, 46, 8, 21, 18, , 3
2018/10/20, 35, 15, 28, 7, 1, 2
2018/10/21, 31, 12, 24, 6, 1, 1
2018/10/22, 34, 22, 40, 15, 1, 2
2018/10/23, 52, 27, 39, 21, 1, 3
2018/10/24, 70, 12, 21, 18, , 3
2018/10/25, 40, 19, 18, 26, , 5
2018/10/26, 55, 26, 19, 29, 1, 6
2018/10/27, 77, 13, 19, 13, , 4
2018/10/28, 37, 9, 17, 6, , 2
2018/10/29, 19, 15, 15, 14, , 2
2018/10/30, 41, 26, 35, 26, 2, 3
2018/10/31, 67, 25, 18, 30, , 5
2018/11/1, 64, 20, 19, 26, 1, 5
2018/11/2, 56, 23, 37, 11, 1, 2
2018/11/3, 73, 16, 26, 16, , 3
2018/11/4, 50, 6, 15, 12, , 4
2018/11/5, 23, 14, 15, 12, , 2
2018/11/6, 40, 16, 12, 16, 1, 3
2018/11/7, 47, 12, 12, 14, 1, 2
2018/11/8, 40, 6, 12, 12, , 2
2018/11/9, 16, 12, 16, 14, , 3
2018/11/10, 33, 18, 13, 15, , 3
2018/11/11, 41, 19, 26, 15, , 4
2018/11/12, 65, 23, 32, 18, , 3
2018/11/13, 65, 24, 25, 15, 1, 4
2018/11/14, 61, 27, 21, 23, 1, 5
2018/11/15, 64, 18, 16, 10, 1, 4
2018/11/16, 49, 16, 21, 5, , 1
2018/11/17, 43, 21, 28, 9, 1, 2
2018/11/18, 51, 20, 22, 7, , 3
2018/11/19, 48, 4, 13, 6, , 2
2018/11/20, 23, 12, 13, 5, 1, 1
2018/11/21, 36, 15, 12, 7, , 2
2018/11/22, 47, 21, 24, 8, 1, 4
2018/11/23, 54, 19, 21, , , 6
2018/11/24, 50, 10, 17, , , 4
2018/11/25, 27, 8, 15, , , 2
2018/11/26, 32, 14, 20, 12, 1, 2
2018/11/27, 37, 21, 24, 14, 1, 2
2018/11/28, 47, 20, 32, 16, 1, 3
2018/11/29, 56, 20, 26, 26, , 5
2018/11/30, 53, 26, 27, 24, 1, 7
2018/12/1, 65, 10, 15, 17, , 4
2018/12/2, 31, 10, 23, 22, , 5
2018/12/3, 31, 12, 16, , 1, 2
