date, pm25, pm10, o3, no2, so2, co
2019/3/19, 54, , 27, 13, 1, 
2019/3/20, 47, , 20, 11, 7, 
2019/3/21, 50, , 11, 11, 7, 
2019/3/22, 39, , 8, 9, 5, 
2019/3/23, 49, , 42, 10, , 
2019/3/24, 44, , 42, 10, , 
2019/3/25, 66, , 42, 20, , 
2019/3/26, 61, , 36, 18, , 
2019/3/27, 80, , 33, 12, 1, 
2019/3/28, 51, , 12, 10, , 
2019/3/29, 37, , 12, 10, , 
2019/3/30, 34, 8, 31, 8, 1, 1
2019/3/31, 44, , 42, 8, , 1
2019/4/1, 50, 39, 27, 10, 1, 2
2018/10/2, 55, , 39, 26, , 
2018/10/3, 84, , 44, 22, 1, 
2018/10/4, 71, 26, 15, 13, 2, 
2018/10/5, 36, 17, 13, 11, 1, 
2018/10/6, 27, 16, 16, 11, 1, 
2018/10/7, 28, 13, 11, 11, 1, 
2018/10/8, 50, 15, 7, 22, , 
2018/10/9, 48, 15, 40, 23, , 
2018/10/10, 43, 21, 29, 20, , 
2018/10/11, 39, , 11, 15, , 
2018/10/12, 24, , 26, 10, , 
2018/10/13, 41, , 39, 16, , 
2018/10/14, 66, , 15, 7, 1, 
2018/10/15, 27, , 8, 15, , 
2018/10/16, 40, , , , , 
2018/10/18, 53, , 46, 23, , 
2018/10/19, 45, , 18, 12, , 
2018/10/20, 20, , 25, 7, 1, 
2018/10/21, 30, 16, 14, 7, 1, 
2018/10/22, 26, 26, 36, 14, 1, 
2018/10/23, 52, 44, 38, 19, 1, 
2018/10/24, 71, 19, 13, 16, , 
2018/10/25, 35, 12, 13, 22, , 
2018/10/26, 49, 20, 17, 22, 1, 
2018/10/27, 68, 20, 20, 11, , 
2018/10/28, 27, , 19, 5, , 
2018/10/29, 18, , 13, 11, , 
2018/10/30, 36, , 43, 18, 1, 
2018/10/31, 65, , 37, 19, , 
2018/11/1, 52, , 27, 20, 1, 
2018/11/2, 24, , 42, 9, 1, 
2018/11/6, 35, , 12, 12, 1, 
2018/11/7, 44, , 11, 12, 1, 
2018/11/8, 43, , 10, 11, , 
2018/11/9, 20, , 16, 12, , 
2018/11/10, 32, , 17, 13, , 
2018/11/11, 44, , 39, 11, , 
2018/11/12, 61, , 34, 17, , 
2018/11/13, 69, , 37, 18, 1, 
2018/11/14, 58, , 36, 21, 1, 
2018/11/15, 58, , 28, 13, 1, 
2018/11/16, 39, , 23, 11, , 
2018/11/17, 47, , 30, 10, 1, 
2018/11/18, 55, , 24, 8, , 
2018/11/19, 47, , 11, 11, , 
2018/11/20, 17, , 12, 8, 1, 
2018/11/21, 21, , 11, 12, , 
